StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
512,513.0,,,,,,0.10316432,87.88938595,478.468899521531,-9.03,15.82,,8.94,0.540731430555271,K0,1.0,17.61502,0.47586,478.1443,-3.609e-05,-2.1927e-05,1.351e-06
582,583.0,174.0,,,,,0.11836555,85.40485204,226.757369614512,28.93,3.5,,8.2,1.42219294733919,A3,0.295,18.15783,0.56285,226.02849,-4.818e-06,3.1667e-05,3.08e-07
706,705.0,245.0,,,,,0.14649349,86.78789828,61.576354679803,331.45,-6.63,,8.41,4.46293012452578,G2V,0.588,3.44773,0.13229,61.47961,-1.819e-06,9.8942e-05,-1.1e-07
818,820.0,,,,,,0.16794406,86.02305546,925.925925925926,23.08,0.9,,9.4,-0.43288122256525,F8,0.539,64.15558,2.82258,923.69633,-8.579e-06,0.00010332,2.8e-07
820,822.0,486.0,,,,,0.16812106,84.15197251,129.366106080207,41.59,8.14,,8.38,2.82089746959163,F5,0.371,13.16837,0.57996,128.69283,-6.22e-06,2.5833e-05,5.2e-07
1051,1052.0,,,,,,0.21901278,84.04424719,108.932461873638,127.98,-14.3,,9.02,3.83421340600621,F5,0.489,11.2843,0.64772,108.34447,3.625e-06,6.7902e-05,-7.83e-07
1283,1284.0,815.0,,,,,0.26812104,88.40120934,314.465408805031,5.3,-6.55,,9.12,1.63213559992216,A,0.23,8.75214,0.61535,314.34298,9.389e-06,8.759e-06,-2.78e-07
1357,1359.0,1119.0,,,,,0.28411916,84.9550675,180.18018018018,16.54,-4.86,,7.8,1.52146491561338,A2,0.204,15.80068,1.17746,179.48216,3.143e-06,1.4721e-05,-3.73e-07
1476,1479.0,,,,,,0.3067871,83.3675067,473.9336492891,28.4,5.62,,8.19,-0.188587723511535,K5,1.675,54.5631,4.39177,470.76181,-1.8019e-05,6.4009e-05,1.491e-06
2788,2794.0,2972.0,,,,,0.59311559,83.63164599,196.850393700787,21.57,4.6,,7.94,1.4693185614196,A2,0.154,21.57195,3.37681,195.63569,-7.493e-06,1.9661e-05,4.86e-07
2948,2953.0,3065.0,,,,,0.62513094,85.09269876,259.067357512953,23.69,6.32,,7.95,0.882936523358776,K0,0.974,21.8655,3.61077,258.11772,-1.2649e-05,2.8065e-05,6.78e-07
3001,3006.0,3161.0,,,,,0.63742018,84.67502086,40.3225806451613,-19.99,-17.89,,7.11,4.08225840413108,F8,0.554,3.69014,0.62157,40.14856,4.082e-06,-3.274e-06,-3.24e-07
3119,3128.0,1687.0,,,,,0.66228472,89.44429274,240.384615384615,-11.9,4.54,,8.12,1.21546665313371,K0,0.936,2.29647,0.40221,240.3733,-2.818e-06,-1.4572e-05,5.1e-08
3127,3133.0,,,,,,0.66372807,87.79673412,317.460317460317,48.08,6.3,,9.02,1.511552768948,F5,0.418,12.02089,2.11007,317.22562,-2.2335e-05,7.1203e-05,3.72e-07
3291,3297.0,,,,,,0.70090384,85.34706474,10000000.0,-1.07,1.11,,9.78,-5.22,K5,1.52,797579.51312,148017.84355,9967043.57561,0.0,0.0,0.0
3349,3354.0,,,,,,0.71197316,85.23725951,134.952766531714,43.96,0.74,,9.58,3.92909103989664,F5,0.501,11.01101,2.07649,134.48678,-5.803e-06,2.8171e-05,4e-08
3412,3420.0,,,,,,0.72641156,83.2981512,143.67816091954,-263.89,-60.97,,10.62,4.83304619805281,K0,1.08,16.46534,3.16958,142.69639,7.6159e-05,-0.000172516,-4.955e-06
3427,3433.0,,,,,,0.73028771,84.24525656,298.507462686567,-0.78,10.73,,10.57,3.19522403518423,F0,0.332,29.38609,5.68776,297.00305,-1.4952e-05,-4.043e-06,1.556e-06
4273,4283.0,4853.0,240.0,,,,0.91465655,83.70746159,75.187969924812,62.0,-10.71,12.0,5.59,1.20925820483543,A4V,0.105,8.00582,1.95454,74.73498,-2.83e-07,2.3192e-05,1.177e-05
4310,4320.0,4710.0,,,,,0.92118742,85.70263603,235.294117647059,-2.61,-17.41,,8.1,1.24194465025156,K0,1.067,17.12101,4.21096,234.6326,1.994e-05,1.838e-06,-1.488e-06
4339,4349.0,,,,,,0.92927591,85.20580763,613.496932515337,-0.77,-3.58,,10.93,1.99093802201979,,1.41,49.76422,12.35148,611.35051,1.0849e-05,3.33e-07,-8.89e-07
4955,4965.0,5621.0,,,,,1.06094121,84.60692182,149.925037481259,64.62,-17.55,,6.74,0.860629169582745,F5,0.246,13.55109,3.86374,149.26136,-6.65e-07,4.8647e-05,-1.198e-06
5112,5122.0,5256.0,,,,,1.09379903,87.31879485,89.3655049151028,310.23,79.8,,8.77,4.01415043264175,G5,0.762,4.01018,1.18079,89.26767,-7.1088e-05,0.00011917,1.617e-06
5361,5372.0,5848.0,285.0,,,,1.14559982,86.25711803,95.8772770853308,80.34,-11.36,9.0,4.24,-0.668578457867345,K2II-III,1.213,5.9794,1.8491,95.67277,-5.424e-06,3.7408e-05,8.84e-06
5580,5592.0,6552.0,,,,,1.19537116,83.45698367,291.545189504373,1.93,-4.18,,8.9,1.57647060021385,A2,0.131,31.60777,10.22765,289.64623,4.744e-06,4.402e-06,-6.73e-07
5916,5928.0,6319.0,306.0,,,,1.27016792,87.14554531,99.9000999000999,49.99,-20.22,-5.0,6.2,1.20217038739659,K2III:,1.114,4.7024,1.62398,99.77614,1.1e-06,2.5992e-05,-5.594e-06
6311,6325.0,,,,,,1.35327975,85.13211173,10000000.0,6.83,7.17,,8.59,-6.41,M0IIIvar,1.781,795882.6521,294393.23989,9963930.1194,0.0,0.0,0.0
6433,6447.0,,,,,,1.38016639,83.80917893,142.857142857143,191.03,37.9,,9.62,3.84549020007128,G5,0.703,14.41095,5.44616,142.02403,-7.1176e-05,0.000114527,2.83e-06
6898,6913.0,7585.0,,,,,1.48367884,86.93306587,41.7188151856487,-13.05,10.65,,8.4,5.29834017016827,G0,0.708,2.06578,0.84535,41.65906,-9.9e-07,-3.257e-06,1.15e-07
7269,7283.0,5914.0,286.0,,,,1.56347666,89.01571833,98.5221674876847,64.92,-32.43,-10.0,6.46,1.49233021124616,A3V,0.107,1.55261,0.67355,98.50763,1.706e-06,3.4538e-05,-1.0491e-05
7578,7592.0,,,,,,1.62946798,84.48124685,1851.85185185185,1.8,10.82,,8.56,-2.77803120088516,M0,1.61,162.13462,73.69094,1843.2681,-9.4705e-05,-2.5294e-05,9.341e-06
8380,8397.0,,,,,,1.80533287,87.89125408,122.850122850123,20.82,-65.73,,9.71,4.26312202444601,G0,0.481,4.02485,2.05785,122.76692,2.9185e-05,2.8847e-05,-1.44e-06
8504,8520.0,10124.0,,,,,1.83153663,85.21555596,568.181818181818,26.79,-2.54,,8.11,-0.662436660929252,A5,0.262,42.04618,21.86272,566.20201,-2.7856e-05,6.8684e-05,-5.83e-07
8827,8846.0,8395.0,,,,,1.89634669,88.55166287,234.192037470726,35.83,-11.06,,7.86,1.01213937512512,K0,1.207,5.20471,2.81948,234.11721,-8.338e-06,4.1745e-05,-3.17e-07
8841,8860.0,,,,,,1.89966948,84.32999294,142.045454545455,42.6,4.77,,8.9,3.13786329571056,F8,0.525,12.33383,6.69534,141.35048,-1.6867e-05,2.4221e-05,3.24e-07
9447,9467.0,11281.0,,,,,2.03058002,84.74078902,292.397660818713,15.75,-3.19,,7.87,0.540130530280676,G5,1.021,23.10289,13.58622,291.16672,-7.435e-06,2.1526e-05,-4.14e-07
9484,9504.0,,,,,,2.03829275,85.74182117,166.389351081531,66.82,-48.25,,9.23,3.1243723600137,G0,0.5,10.63689,6.28422,165.93004,6e-06,6.6145e-05,-2.889e-06
9593,9614.0,10772.0,,,,,2.05953711,86.93182634,178.890876565295,49.38,-11.1,,8.11,1.84705903943212,F5,0.342,8.21655,4.91615,178.63444,-1.3738e-05,4.1682e-05,-5.15e-07
10086,10109.0,,,,,,2.16783261,83.67939116,178.25311942959,82.76,-21.87,,10.66,4.40481430628081,G5,0.604,16.54767,10.54913,177.16959,-2.2604e-05,7.04e-05,-2.08e-06
10599,10623.0,12918.0,,,,,2.27924189,83.56151865,131.233595800525,58.29,-42.97,,6.45,0.859774856698003,K0,0.951,12.173,8.26923,130.40588,1.632e-06,4.5939e-05,-3.065e-06
10774,10800.0,12648.0,,,,,2.31659811,85.73594814,174.216027874564,-9.72,85.51,,6.98,0.774559461989869,G5,0.904,10.64333,7.38325,173.73379,-5.4494e-05,-4.7793e-05,5.369e-06
11137,11164.0,13419.0,,,,,2.39449898,84.57090865,341.296928327645,16.47,-25.69,,9.24,1.57433810177055,A2,0.27,26.15159,18.94276,339.76588,1.8283e-05,4.689e-05,-4.021e-06
11734,11767.0,8890.0,424.0,,1Alp UMi,Polaris,2.52974312,89.26413805,132.275132275132,44.22,-11.74,-17.0,1.97,-3.63739102249397,F7:Ib-IIv SB,0.636,1.33964,1.04462,132.26422,-1.1676e-05,2.6852e-05,-1.7481e-05
11948,11980.0,11696.0,,,,,2.57541886,88.47114297,154.083204930663,52.68,-46.8,,8.14,2.20122348400185,A3,0.241,3.21143,2.56652,154.02835,2.732e-06,5.2555e-05,-9.32e-07
11973,12003.0,,,,,,2.57870686,87.42654405,763.358778625954,-0.19,-3.94,,9.92,0.506356478278823,B9,0.139,26.75646,21.4211,762.58891,1.1809e-05,8.554e-06,-6.54e-07
12200,12232.0,15036.0,,,,,2.62442202,83.83453869,197.23865877712,-38.03,11.57,,6.67,0.195039796666681,K0,1.36,16.37705,13.43615,196.0978,1.456e-05,-3.5088e-05,1.188e-06
12377,12410.0,14955.0,,,,,2.66321024,85.05951114,114.285714285714,65.75,-76.22,,8.57,3.28004026511157,G5,0.646,7.54543,6.31974,113.8611,8.862e-06,5.4939e-05,-3.636e-06
12920,12952.0,15374.0,,,,,2.77613017,85.79933286,154.559505409583,28.66,-18.94,,7.82,1.8745214033435,A0,0.106,8.46065,7.5228,154.1443,-3.692e-06,2.5451e-05,-1.039e-06
13116,13149.0,16217.0,,,,,2.81841232,83.87359026,401.606425702811,-11.61,-1.78,,8.32,0.300996735478684,K,1.625,31.71286,28.8324,399.31279,1.7754e-05,-1.4406e-05,-3.69e-07
13981,14015.0,,,,,,3.00698674,84.64783857,190.47619047619,-14.27,13.29,,9.92,3.52079651702979,F5,0.477,12.5402,12.58616,189.64575,7.1e-07,-1.7955e-05,1.144e-06
14249,14285.0,16335.0,,,,,3.06896958,87.02605568,157.232704402516,-31.92,14.67,,7.85,1.86728557824207,F0,0.379,5.66314,5.87144,157.02094,9.759e-06,-2.4927e-05,5.8e-07
14392,14428.0,17243.0,,,,,3.10422055,85.86357081,311.526479750779,-9.91,3.03,,8.79,1.32252516202436,A0,0.058,15.44993,16.3169,310.71499,7.729e-06,-1.3603e-05,3.3e-07
14834,14870.0,18472.0,,,,,3.19954339,83.57938577,666.666666666667,-2.53,8.13,,9.31,0.190456295278407,M8,1.429,49.89096,55.39621,662.48516,-1.1397e-05,-2.4873e-05,2.938e-06
16090,16129.0,20030.0,,,,,3.46253762,83.52832332,526.315789473684,6.97,-2.79,,7.31,-1.29623199523585,K0,1.51,36.57285,46.70696,522.96194,-9.641e-06,1.6532e-05,-8.02e-07
16152,16191.0,,,,,,3.47653821,87.39470345,260.416666666667,-0.58,-2.86,,9.14,2.06165612183765,F8,0.495,7.26365,9.34674,260.14749,2.791e-06,2.398e-06,-1.64e-07
16225,16267.0,,,,,,3.49420904,84.04662385,1724.13793103448,5.67,10.17,,9.06,-2.12286003218531,M2,1.472,109.0774,141.70709,1714.839,-8.9122e-05,-3.8088e-05,8.816e-06
16235,16276.0,20110.0,,,,,3.49748377,84.03879961,85.1063829787234,53.47,-43.54,,8.35,3.70018933303878,G,0.9,5.38529,7.00868,84.64616,-6.607e-06,2.7607e-05,-1.865e-06
16449,16489.0,20084.0,965.0,,,,3.53880973,84.91136314,108.932461873638,62.36,-133.04,33.0,5.62,0.434213406006212,G3IIp...,0.894,5.80364,7.72471,108.50312,1.7503e-05,7.8121e-05,2.7385e-05
16714,16754.0,,,,,,3.59253136,86.39978559,147.275405007364,23.44,-20.78,,9.05,3.20934887140251,F0,0.313,5.45048,7.47118,146.98475,-4.793e-06,2.1824e-05,-9.31e-07
17154,17195.0,14369.0,,,,,3.68221407,89.10495838,88.1057268722467,-52.23,-31.2,,8.1,3.37497930764571,F0,0.413,0.7848,1.13058,88.09497,2.5923e-05,-1.775e-06,-2.08e-07
17631,17673.0,,,,,,3.78562294,87.89684377,117.785630153121,42.91,-44.24,,8.81,3.45453845121976,G0,0.48,2.36787,3.61633,117.70628,-6.669e-06,3.454e-05,-9.27e-07
18255,18300.0,22677.0,,,,,3.91299373,83.54500329,330.03300330033,10.82,-13.54,,7.66,0.0672131425115268,B9,0.019,19.27865,31.70146,327.94074,-3.606e-06,2.7386e-05,-2.435e-06
18390,18436.0,,,,,,3.94166961,85.25326875,207.46887966805,21.65,-25.16,,9.24,2.65523519119425,F0,0.316,8.8102,14.73539,206.7573,-5.747e-06,3.2818e-05,-2.093e-06
18421,18468.0,22499.0,,,,,3.9473912,84.81931023,769.230769230769,8.24,11.99,,8.3,-1.13028323846581,M...,1.471,35.55476,59.66939,766.08837,-4.9189e-05,-2.2523e-05,4.037e-06
19205,19253.0,,,,,,4.12533741,85.62141235,86.1326442721792,30.8,3.13,,8.7,4.02416109869287,G0,0.53,3.09935,5.79971,85.88125,-1.1956e-05,4.912e-06,9.9e-08
19324,19372.0,,,,,,4.14961391,87.29764416,432.900432900433,7.15,-8.1,,9.64,1.45805989946072,B8,0.219,9.5051,18.06179,432.41902,-5.37e-06,2.2013e-05,-8.01e-07
19405,19454.0,22701.0,1107.0,,,,4.16672884,86.62635165,40.9165302782324,142.7,-87.62,-4.0,5.84,2.78050600785258,F5IV,0.393,1.11177,2.13578,40.84562,-1.7207e-05,2.8245e-05,-5.106e-06
20260,20311.0,,,,,,4.35112827,83.901575,113.122171945701,-7.17,40.11,,8.71,3.44226132506537,F8,0.459,5.02811,10.9153,112.48199,-5.579e-06,-2.1509e-05,2.336e-06
20577,20629.0,,,,,,4.42179773,84.08170734,300.3003003003,-9.98,8.66,,8.42,1.0322211675316,K0,1.052,12.43256,28.35842,298.69968,8.271e-06,-1.7318e-05,1.299e-06
20808,20860.0,26356.0,1289.0,,,,4.47035983,83.80776284,210.084033613445,-4.23,11.25,-7.0,5.51,-1.10196523639753,B5V,-0.106,8.83404,20.86778,208.85831,-7.74e-07,-1.2879e-05,-5.881e-06
21266,21319.0,26774.0,,,,,4.57671583,84.47242625,259.067357512953,18.73,-19.68,,7.34,0.272936523358775,K2,1.371,9.08477,23.24218,257.86268,-1.2952e-05,3.1476e-05,-2.38e-06
21333,21386.0,26367.0,,,,,4.59002529,85.52700667,36.6568914956012,13.52,9.02,,6.55,3.72922182992221,F8,0.529,1.03148,2.66627,36.54524,-2.817e-06,-6.23e-07,1.25e-07
21447,21500.0,,,,,,4.61770667,85.86721222,316.455696202532,12.05,-22.12,,9.19,1.68843541309202,F2,0.359,8.07429,21.32926,315.63281,-5.305e-06,3.8198e-05,-2.445e-06
22113,22166.0,28167.0,,,,,4.76877929,84.02984569,223.214285714286,-3.11,-37.13,,7.31,0.566390069990721,K0,0.974,7.35455,22.02092,222.00361,1.585e-05,3.6835e-05,-4.178e-06
23249,23304.0,,,,,,5.01196136,84.57483715,373.134328358209,6.81,-2.55,,10.88,3.02067397014395,,0.444,9.02391,34.10453,371.46288,-1.0733e-05,7.59e-06,-4.36e-07
23337,23392.0,29475.0,,,,,5.02844898,84.87256122,326.797385620915,-2.15,2.99,,7.71,0.1386071324079,A2,0.13,7.34882,28.26664,325.48966,2.109e-06,-5.423e-06,4.23e-07
23524,23577.0,,,,,,5.06946999,85.25932172,107.066381156317,41.26,-195.12,,9.19,4.04173438115047,F8,0.48,2.13437,8.58734,106.7001,3.561e-06,0.000103111,-8.369e-06
24338,24396.0,26341.0,,,,,5.23359679,88.22202521,253.164556962025,-12.61,7.04,,8.6,1.5829854781323,F2,0.351,1.56546,7.69723,253.04267,1.3444e-05,-1.1546e-05,2.68e-07
24572,24631.0,,,,,,5.28384789,84.21156329,662.251655629139,16.72,5.66,,8.47,-0.635115263534152,K5,1.598,12.44942,65.62123,658.87488,-5.6106e-05,-7.756e-06,1.832e-06
24685,24745.0,31095.0,,,,,5.30611961,85.18882929,342.465753424658,3.97,-18.94,,8.2,0.526914257242092,K0,1.375,5.18915,28.2507,341.25908,-8.21e-07,3.2008e-05,-2.637e-06
24968,25029.0,29944.0,,,,,5.35923131,86.86637898,78.003120124805,-30.77,36.95,,8.52,4.05944012591399,G5,0.636,0.71195,4.20416,77.88648,9.142e-06,-1.5698e-05,7.63e-07
25204,25267.0,30881.0,,,,,5.40384921,86.28978155,244.498777506112,6.67,-25.31,,8.02,1.07861654003671,B9,0.028,2.45929,15.62928,243.98633,-3.156e-06,3.0801e-05,-1.941e-06
25846,25911.0,32196.0,1616.0,,,,5.5299996,85.93871532,99.502487562189,17.27,-76.9,-6.0,6.5,1.51083030878254,A5m,0.36,0.86493,6.99382,99.25262,-3.779e-06,3.7311e-05,-8.748e-06
26342,26407.0,34360.0,,,,,5.62084613,83.86148978,204.918032786885,4.44,-21.18,,7.14,0.582099110013553,A0,-0.001,2.1715,21.8045,203.74309,-2.315e-06,2.1253e-05,-2.249e-06
26949,27015.0,34109.0,1714.0,,,,5.73026731,85.66832839,144.927536231884,-10.52,11.39,-14.0,6.69,0.884245453686278,A2V,0.02,0.77234,10.91908,144.51355,6.733e-06,-9.559e-06,-1.3672e-05
27656,27724.0,,,,,,5.87099766,87.2207912,250.62656641604,9.75,-29.99,,10.19,3.19486447843374,G2,0.515,0.41033,12.14528,250.33177,-1.061e-05,3.6773e-05,-1.766e-06
27983,28053.0,,,,,,5.93215557,86.0812832,184.50184501845,38.98,-174.0,,10.93,4.59999643269193,,0.64,0.22394,12.60708,184.07048,-3.2101e-05,0.000155858,-1.0635e-05
28461,28532.0,36905.0,1885.0,,,,6.02226982,85.18211809,409.83606557377,14.66,-1.89,-46.0,6.17,-1.89305086830635,M0III,1.564,-0.20068,34.42107,408.38798,-2.9124e-05,-3.79e-07,-4.7194e-05
28884,28956.0,37599.0,,,,,6.11133541,85.28459962,334.448160535117,-3.51,-0.97,,7.5,-0.121644058377851,G5,1.086,-0.80126,27.48209,333.31616,5.642e-06,1.732e-06,-1.29e-07
29384,29457.0,,,,,,6.206942,88.13174911,101.317122593718,115.24,-231.37,,10.58,5.55158576334818,G2,0.75,-0.17886,3.29822,101.26326,-6.2668e-05,0.000110346,-3.704e-06
29426,29499.0,39261.0,,,,,6.21570993,84.09762255,268.096514745308,-11.56,14.61,,8.56,1.41854415904344,F5,0.457,-1.55609,27.52543,266.67521,1.6066e-05,-1.8009e-05,1.952e-06
29527,29600.0,38847.0,,,,,6.2375113,84.98631828,63.9386189258312,102.96,147.68,,8.82,4.79118374361915,G0V,0.58,-0.34722,5.57702,63.69398,-2.9017e-05,-4.7494e-05,4e-06
30094,30166.0,40456.0,,,,,6.34738969,84.17904139,96.8054211035818,35.88,-22.33,,8.73,3.8005016075981,F8,0.7,-0.89168,9.77745,96.30626,-1.7715e-05,8.852e-06,-1.062e-06
30672,30744.0,,,,,,6.46069168,85.5864784,237.529691211401,-9.82,-159.43,,12.43,5.55141047917834,,0.787,-2.19925,18.14615,236.82532,-1.0796e-05,0.000183066,-1.4127e-05
31352,31429.0,43145.0,,,,,6.58578599,83.76362729,366.300366300366,2.58,-24.17,,9.16,1.34081323520378,F0,0.399,-6.07844,39.32436,364.13267,-1.1045e-05,4.1464e-05,-4.662e-06
31641,31721.0,39164.0,,,,,6.63581272,87.29669721,344.827586206897,0.31,-20.81,,8.3,0.611989989494782,K0,1.965,-2.69465,16.03867,344.44384,-6.268e-06,3.4181e-05,-1.64e-06
32043,32128.0,,,,,,6.70969292,83.90425674,348.432055749129,9.58,15.93,,9.82,2.10940948366996,K0,0.91,-6.83502,36.36327,346.46196,-1.096e-05,-2.9283e-05,2.857e-06
